car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster Oroch 2.0 Dynamique,69.000.000,2019,"105,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1400491129-renault-duster-oroch-20-dynamique-_JM#position=32&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Expression Mecánica,49.000.000,2016,"68,300",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409087719-renault-duster-expression-_JM#position=33&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster DINAMIQUE 2.0 MT 4*4,69.000.000,2020,"58,950",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1379620901-renault-duster-dynamique-20-4x4-mt-blanco-2020-fvp861-_JM#position=34&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Oroch 2.0 Intens 4x4,77.900.000,2021,"53,500",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405082207-renault-duster-oroch-20-intens-4x4-_JM#position=35&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster ICONIC 1.3T CVT,101.500.000,2024,0,Marrón,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1389472781-renault-duster-iconic-13-turbo-automatica-jp-_JM#position=36&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0cc 4x2 At Aa,47.800.000,2015,"87,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409095099-renault-duster-20cc-4x2-at-aa-_JM#position=37&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Oroch 2.0 Dynamique,63.500.000,2019,"105,000",Gris,Gasolina,Santander,https://articulo.tucarro.com.co/MCO-1406478447-renault-duster-oroch-2019-4x4-mecanica-20-dynamique-_JM#position=38&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster RENAULT DUSTER 1.3T 4X2 AT INTENS,85.990.000,2023,"22,002",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405510133-renault-duster-13t-4x2-at-intens-_JM#position=39&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 50 Años / Modelo 2020,55.800.000,2020,"99,000",Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1407597041-renault-duster-50-anos-modelo-2020-_JM#position=40&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x2,41.600.000,2013,"78,901",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399737687-renault-duster-20-dinamique-automatica-4x2-_JM#position=41&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Oroch 2022,77.000.000,2022,"64,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1390142951-renault-duster-oroch-2022-_JM#position=42&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster DYNAMIQUE 4X4 2000CC MT AA,46.000.000,2016,"105,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400637863-renault-duster-dynamique-4x4-2000cc-mt-aa-_JM#position=43&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Zen,86.000.000,2024,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2160829476-renault-duster-unique-mf-_JM#position=44&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Zen,69.900.0005% OFF,2022,"9,843",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410314967-renault-duster-zen-2022-_JM#position=45&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Automatica,58.000.000,2019,"70,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2240566322-renault-duster-automatica-20l-dynamique-_JM#position=46&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster  4x2 1600cc Mt Aa,69.000.000,2022,"74,500",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409885413-renault-duster-4x2-1600cc-mt-aa-_JM#position=47&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Mt,63.900.000,2022,"74,100",Blanco,Gasolina y gas,Antioquia,https://articulo.tucarro.com.co/MCO-2211808566-renault-duster-zen-mt-2022-_JM#position=48&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
