car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla Se G Xl-i Modelo 2022 Id 45881,87.900.000,2022,"28,566",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381003003-toyota-corolla-se-g-xl-i-modelo-2022-id-45881-_JM#position=11&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross 2.0 Seg,142.300.000,2022,"34,347",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1411002261-toyota-corolla-cross-seg-hev-18-aut-2022-hibrida-_JM#position=12&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,149.000.000,2023,"7,000",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1407359715-toyota-corolla-cross-seg-_JM#position=13&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corollacross 46320,119.000.000,2023,"12,350",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2279607916-toyota-corollacross-46320-_JM#position=14&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross 2.0 Xei,127.000.000,2023,"25,000",Blanco,Gasolina,Tolima,https://articulo.tucarro.com.co/MCO-1402739031-toyota-corolla-cross-20-xei-_JM#position=15&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross Seg Hibrida,140.999.000,2022,"44,000",Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402627467-toyota-corolla-cross-seg-hibrida-_JM#position=16&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Se-g,136.900.000,2023,"14,190",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1389852943-toyota-corolla-seg-hybrid-2023-_JM#position=17&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross Se-g Hybrid 2024 At 0 Kms Estrenar ,162.000.000,2024,3,Blanco,Híbrido,Santander,https://articulo.tucarro.com.co/MCO-2314651566-toyota-corolla-cross-se-g-hybrid-2024-at-0-kms-estrenar-_JM#position=18&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross Seg Híbrido,161.000.000,2024,0,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2272757994-toyota-corolla-cross-seg-hibrido-_JM#position=19&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla Cross Gr 2.0 At Modelo 2023,142.900.000,2023,"2,195",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1409875453-toyota-corolla-cross-gr-20-at-modelo-2023-_JM#position=20&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
Toyota Corolla 1.8 Xe-i,99.990.000,2022,"18,688",Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1409522723-toyota-corolla-xei-hybrid-2022-_JM#position=21&search_layout=grid&type=item&tracking_id=08ece0ec-9df4-4b7f-bb3c-98ef72b89c3a
