car_model,price,year_model,kms,colour,fuel_type,location,url_car
Suzuki Swift 1.2 Dzire,46.500.000,2019,"40,000",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2215283132-suzuki-swift-2019-12-dzire-_JM#position=38&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire Ga,49.900.000,2020,"33,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402624271-suzuki-swift-2020-_JM#position=39&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,48.500.000,2022,"25,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1405978151-suzuki-swift-12-dzire-automatico-modelo-2022-_JM#position=40&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.25 Hybrid Mt 2023,70.900.000,2023,"25,600",Azul,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1404744809-suzuki-swift-125-hybrid-mt-2023-_JM#position=41&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Live 1.2l,38.900.000,2017,"53,000",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2265960816-suzuki-swift-_JM#position=42&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,51.900.000,2023,"18,400",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2251158208-suzuki-swift-dzire-12-mecanico-sd-_JM#position=43&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,51.900.000,2023,"22,420",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396790601-suzuki-swift-dzire-12-mecanico-sd-_JM#position=44&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift NEW DZIRE GL MEC 12,49.900.0003% OFF,2023,"24,672",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2228862938-suzuki-swift-new-dzire-gl-2023-_JM#position=45&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift NEW DZIRE GL MEC 12,49.900.0003% OFF,2023,"27,839",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2228862758-suzuki-swift-new-dzire-gl2023-_JM#position=46&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift LIVE 1.2L MT,37.900.000,2017,"65,000",Rojo,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1401849027-suzuki-swift-live-12l-mt-2017-_JM#position=47&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift DZIRE FE AUT 1.2,49.900.000,2022,"26,600",Gris,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1407418439-suzuki-swift-dzire-fe-aut-12-2022-_JM#position=48&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Dzire 2023 1.2 Mt ,48.900.000,2023,"19,531",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1397932021-suzuki-swift-dzire-2023-12-mt-_JM#position=1&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Dzire,51.900.000,2023,"21,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396778493-suzuki-swift-dzire-12-mecanico-sd-_JM#position=2&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift DZIRE FE AUT 1.2,49.900.000,2022,"27,600",Blanco,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2284278450-suzuki-swift-dzire-fe-aut-12-2022-_JM#position=3&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2,33.900.000,2016,"123,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240380538-suzuki-swift-2016-_JM#position=4&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Dzire,36.500.000,2014,"113,173",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395990137-suzuki-switf-dzire-12-_JM#position=5&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift Hybrid Mt 1.2cc 2023,67.900.000,2023,"39,000",Blanco,Híbrido,Risaralda,https://articulo.tucarro.com.co/MCO-1401900475-suzuki-swift-hybrid-mt-12cc-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift Hibrido,76.990.000,2024,0,Blanco,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1389542581-suzuki-swift-hibrido-_JM#position=7&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift DZIRE FE AUT 1.2,53.900.000,2023,"19,800",Plateado,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2279271696-suzuki-swift-dzire-fe-aut-12-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2,41.000.000,2018,"122,429",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2267228374-suzuki-swift-12-2018-_JM#position=9&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 HYBRID,64.900.000,2022,"43,800",Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2261411724-suzuki-swift-hybrid-2022-12-mt-_JM#position=10&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Dzire Ga,54.750.000,2023,"28,414",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2204063346-suzuki-swift-2023-12-dzire-ga-_JM#position=11&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift Hybrid,76.490.000,2024,0,Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2200793090-swift-hybrid-2024-_JM#position=12&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Dzire Ga,44.900.000,2021,"40,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2259734838-suzuki-swift-2021-12-dzire-ga-_JM#position=13&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Hibrido,79.070.000,2024,0,Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2158590114-suzuki-swift-hibrido-_JM#position=14&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift DZIRE,49.900.000,2022,"27,045",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2257733450-suzuki-swift-dzire-tam-_JM#position=15&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki Swift 1.2 Dzire,34.900.000,2014,"112,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1384479459-suzuki-swift-2014-_JM#position=16&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki NEW SWIFT DZIRE MT,49.900.000,2023,"33,053",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1399677701-suzuki-new-swift-dzire-mt-_JM#position=17&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
Suzuki NEW SWIFT DZIRE,53.900.000,2023,"17,722",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1397137223-suzuki-new-swift-dzire-_JM#position=18&search_layout=grid&type=item&tracking_id=4e3f8bbc-555b-4f94-89d1-45ddffd7d2b2
